,value,group
1309,13266.0,S
1310,11227.0,S
1311,21002.0,S
1312,10548.0,S
1313,11347.0,S
1314,14531.0,S
1315,30841.0,S
1316,14044.0,S
1317,12165.0,S
1318,9953.0,S
1319,9848.0,S
1320,17614.0,S
1321,47825.0,S
1322,4558.0,S
1323,28925.0,S
1324,19147.0,S
1325,,S
1326,14941.0,S
1327,15547.0,S
1328,38196.0,S
1329,14250.0,S
1330,7873.0,S
1331,24184.0,S
1332,10500.0,S
1333,38939.0,S
1334,30182.0,S
1335,12785.0,S
1336,43499.0,S
1337,9205.0,S
1338,12698.0,S
1339,43679.0,S
1340,6421.0,S
1341,16828.0,S
1342,43402.0,S
1343,37156.0,S
1344,32808.0,S
1345,5350.0,S
1346,14212.0,S
1347,23535.0,S
1348,15340.0,S
1349,9911.0,S
1350,38214.0,S
1351,14213.0,S
1352,29505.0,S
1353,90042.0,S
1354,,S
1355,21074.0,S
1356,7494.0,S
1357,11957.0,S
1358,24368.0,S
1359,25562.0,S
1360,47255.0,S
1361,14037.0,S
1362,43397.0,S
1363,11353.0,S
1364,8584.0,S
1365,8676.0,S
1366,17837.0,S
1367,12871.0,S
1368,12862.0,S
1369,12976.0,S
1370,41526.0,S
1371,29878.0,S
1372,14107.0,S
1373,14283.0,S
1374,13010.0,S
1375,13322.0,S
1376,12693.0,S
1377,13528.0,S
1378,39493.0,S
1379,191514.0,S
1380,24252.0,S
1381,14145.0,S
1382,10908.0,S
1383,,S
1384,48037.0,S
1385,44324.0,S
1386,54383.0,S
1387,20617.0,S
1388,7952.0,S
1389,16064.0,S
1390,8394.0,S
1391,61354.0,S
1392,10972.0,S
1393,20102.0,S
1394,11801.0,S
1395,8001.0,S
1396,8006.0,S
1397,17925.0,S
1398,32391.0,S
1399,17637.0,S
1400,31393.0,S
1401,10815.0,S
1402,11704.0,S
1403,35935.0,S
1404,11211.0,S
1405,12206.0,S
1406,15531.0,S
1407,16004.0,S
1408,65209.0,S
1409,9215.0,S
1410,19077.0,S
1411,9418.0,S
1412,,S
1413,45381.0,S
1414,14428.0,S
1415,21505.0,S
1416,10067.0,S
1417,11154.0,S
1418,12405.0,S
1419,32166.0,S
1420,22049.0,S
1421,14549.0,S
1422,16114.0,S
1423,28677.0,S
1424,21120.0,S
1425,13060.0,S
1426,11955.0,S
1427,19206.0,S
1428,32245.0,S
1429,52641.0,S
1430,11643.0,S
1431,43754.0,S
1432,16915.0,S
1433,11441.0,S
1434,5997.0,S
1435,51146.0,S
1436,15531.0,S
1437,79204.0,S
1438,58311.0,S
1439,18807.0,S
1440,12385.0,S
1441,,S
1442,13533.0,S
1443,50239.0,S
1444,27938.0,S
1445,9551.0,S
1446,9981.0,S
1447,14207.0,S
1448,13657.0,S
1449,37517.0,S
1450,10981.0,S
1451,10309.0,S
1452,11745.0,S
1453,12497.0,S
1454,12096.0,S
1455,10031.0,S
1456,8070.0,S
1457,12001.0,S
1458,17122.0,S
1459,12444.0,S
1460,26358.0,S
1461,5803.0,S
1462,9809.0,S
1463,16856.0,S
1464,16169.0,S
1465,8637.0,S
1466,18485.0,S
1467,9012.0,S
1468,12182.0,S
1469,25650.0,S
1470,,S
1471,59611.0,S
1472,13114.0,S
1473,44226.0,S
1474,12150.0,S
1475,12446.0,S
1476,13453.0,S
1477,11218.0,S
1478,20154.0,S
1479,18504.0,S
1480,26920.0,S
1481,10738.0,S
1482,31010.0,S
1483,22812.0,S
1484,12147.0,S
1485,26894.0,S
1486,10859.0,S
1487,10642.0,S
1488,21880.0,S
1489,57014.0,S
1490,20118.0,S
1491,44915.0,S
1492,9031.0,S
1493,17744.0,S
1494,6884.0,S
1495,23944.0,S
1496,38296.0,S
1497,68690.0,S
1498,28105.0,S
1499,,S
1500,9033.0,S
1501,67203.0,S
1502,24671.0,S
1503,9150.0,S
1504,12316.0,S
1505,13607.0,S
1506,41106.0,S
1507,20061.0,S
1508,20034.0,S
1509,13476.0,S
1510,6720.0,S
1511,18016.0,S
1512,10432.0,S
1513,36806.0,S
1514,7662.0,S
1515,16547.0,S
1516,66614.0,S
1517,26046.0,S
1518,14937.0,S
1519,14813.0,S
1520,7651.0,S
1521,15373.0,S
1522,22353.0,S
1523,17803.0,S
1524,72175.0,S
1525,41151.0,S
1526,34729.0,S
1527,10608.0,S
1528,,S
1529,30709.0,S
1530,106350.0,S
1531,45349.0,S
1532,16284.0,S
1533,21992.0,S
1534,27749.0,S
1535,10272.0,S
1536,34639.0,S
1537,11717.0,S
1538,10244.0,S
1539,9258.0,S
1540,7145.0,S
1541,7740.0,S
1542,43580.0,S
1543,14829.0,S
1544,9323.0,S
1545,26520.0,S
1546,135077.0,S
1547,57443.0,S
1548,7924.0,S
1549,14432.0,S
1550,17700.0,S
1551,9282.0,S
1552,8924.0,S
1553,31136.0,S
1554,22640.0,S
1555,22617.0,S
1556,15174.0,S
1557,,S
1558,60770.0,S
1559,6593.0,S
1560,12036.0,S
1561,29884.0,S
1562,32281.0,S
1563,21576.0,S
1564,10086.0,S
1565,100164.0,S
